date,open,high,low,close,Adj Close,Volume,,
2020-10-13 00:00:00-5:00,11531.69922,11558.99219,11304.39844,11423.33789,11423.33789,55236.49219,,
2020-10-14 00:00:00-5:00,11422.87012,11550.01465,11283.07715,11420.43359,11420.43359,51638.30859,,
2020-10-15 00:00:00-5:00,11420.81348,11621.72754,11254.43555,11505.8916,11505.8916,62105.96484,,
2020-10-16 00:00:00-5:00,11506.13281,11542.87109,11200.8252,11321.1377,11321.1377,62278.79297,,
2020-10-19 00:00:00-5:00,11505.94238,11841.49023,11409.80762,11753.36328,11753.36328,62091.03906,,
2020-10-20 00:00:00-5:00,11753.36523,12040.86523,11680.13672,11913.45117,11913.45117,82222.23438,,
2020-10-21 00:00:00-5:00,11913.9502,13224.50488,11891.80371,12789.28418,12789.28418,163565.9063,,
2020-10-22 00:00:00-5:00,12787.84961,13188.99219,12684.33984,12973.73633,12973.73633,97287.58594,,
2020-10-23 00:00:00-5:00,12972.6543,13029.43457,12719.34082,12926.01953,12926.01953,64104.41016,,
2020-10-26 00:00:00-5:00,13032.45801,13258.29981,12763.99805,13055.03613,13055.03613,77518.32031,,
2020-10-27 00:00:00-5:00,13055.47852,13787.39746,13029.62988,13659.01758,13659.01758,107811.3203,,
2020-10-28 00:00:00-5:00,13658.10254,13859.04688,12888.35547,13269.00684,13269.00684,123086.8516,,
2020-10-29 00:00:00-5:00,13268.89258,13647.13184,12929.95606,13456.23731,13456.23731,95355.08594,,
2020-10-30 00:00:00-5:00,13456.1582,13673.26856,13118.1377,13562.55957,13562.55957,91448.73438,,
2020-11-02 00:00:00-5:00,13762.56348,13832.00391,13196.77832,13552.49121,13552.49121,84020.03906,,
2020-11-03 00:00:00-5:00,13552.34961,14068.49707,13286.77051,14024.85254,14024.85254,94572.78125,,
2020-11-04 00:00:00-5:00,14025.62598,14263.74805,13525.52051,14146.94727,14146.94727,120776.5156,,
2020-11-05 00:00:00-5:00,14148.74414,15747.29883,14098.43066,15582.73633,15582.73633,209434.0469,,
2020-11-06 00:00:00-5:00,15588.54004,15957.33691,15175.32324,15579.99707,15579.99707,165939.4688,,
2020-11-09 00:00:00-5:00,15478.12109,15845.7959,14807.80371,15331.25586,15331.25586,142247.9531,,
2020-11-10 00:00:00-5:00,15331.64648,15464.74707,15076.35938,15301.44629,15301.44629,81545.21094,,
2020-11-11 00:00:00-5:00,15301.38867,15972.16211,15277.36816,15689.74609,15689.74609,103416.8125,,
2020-11-12 00:00:00-5:00,15690.42285,16344.98828,15443.25684,16295.80273,16295.80273,140216.2344,,
2020-11-13 00:00:00-5:00,16295.60449,16482.43359,15950.43848,16322.48828,16322.48828,99004.15625,,
2020-11-16 00:00:00-5:00,15959.40918,16882.31641,15866.28613,16715.75977,16715.75977,102392.3438,,
2020-11-17 00:00:00-5:00,16715.71875,17860.36133,16543.68359,17664.63672,17664.63672,152401.2969,,
2020-11-18 00:00:00-5:00,17664.09766,18476.70508,17204.5957,17777.11328,17777.11328,199473.4844,,
2020-11-19 00:00:00-5:00,17779.49219,18181.17969,17339.04297,17806.36133,17806.36133,116235.6797,,
2020-11-20 00:00:00-5:00,17806.59766,18818.0332,17744.94141,18659.33594,18659.33594,114986.3984,,
2020-11-23 00:00:00-5:00,18415.6875,18764.82617,18000.27539,18373.55273,18373.55273,108983.2734,,
2020-11-24 00:00:00-5:00,18385.85156,19423.98633,18033.95898,19158.89258,19158.89258,149271.5469,,
2020-11-25 00:00:00-5:00,19159.14063,19487.97461,18500.24023,18720.69141,18720.69141,125525.5469,,
2020-11-27 00:00:00-5:00,17158.90039,17468.37695,16380.51563,17144.81055,17144.81055,114547.125,,
2020-11-30 00:00:00-5:00,18188.92578,19864.10742,18188.5293,19698.79883,19698.79883,156467,,
2020-12-01 00:00:00-5:00,19690.2168,19902.91797,18062.89844,18793.89453,18793.89453,172122.8438,,
2020-12-02 00:00:00-5:00,18780.03125,19339.72266,18333.28125,19208.89258,19208.89258,99301.03125,,
2020-12-03 00:00:00-5:00,19208.76367,19604.52148,18872.26563,19428.20508,19428.20508,87118.96094,,
2020-12-04 00:00:00-5:00,19428.60156,19532.31641,18588.69922,18675.32422,18675.32422,95732.35156,,
2020-12-07 00:00:00-5:00,19363.94336,19424.97266,18903.63086,19170.30859,19170.30859,53729,,
2020-12-08 00:00:00-5:00,19172.05664,19298.73633,18207.04492,18323.41211,18323.41211,85473.375,,
2020-12-09 00:00:00-5:00,18323.2168,18640.08789,17655.89453,18547.01758,18547.01758,107738.9688,,
2020-12-10 00:00:00-5:00,18527.71875,18548.14453,17911.2793,18259.03516,18259.03516,70518.50781,,
2020-12-11 00:00:00-5:00,18236.95117,18282.91016,17577.42773,18040.19336,18040.19336,93063.29688,,
2020-12-14 00:00:00-5:00,19172.74414,19349.10547,18999.79492,19271.44922,19271.44922,60262.35156,,
2020-12-15 00:00:00-5:00,19273.29102,19568.79297,19049.64453,19429.2832,19429.2832,88448.78125,,
2020-12-16 00:00:00-5:00,19429.34961,21526.66016,19269.20703,21303.79297,21303.79297,149040.8594,,
2020-12-17 00:00:00-5:00,21339.37305,23798.37695,21231.67969,22806.20117,22806.20117,213595.6563,,
2020-12-18 00:00:00-5:00,22987.73633,23280.58203,22348.74609,23086.29883,23086.29883,91202.71875,,
2020-12-21 00:00:00-5:00,23447.70703,24087.98438,21879.5625,22721.58789,22721.58789,112749.8828,,
2020-12-22 00:00:00-5:00,22720.61328,23835.67383,22355.24023,23811.98828,23811.98828,107721.4766,,
2020-12-23 00:00:00-5:00,23811.71875,24103.39844,22604.58984,23215.9707,23215.9707,147378.4531,,
2020-12-24 00:00:00-5:00,23202.16797,23763.23633,22703.91992,23692.875,23692.875,85305.40625,,
2020-12-28 00:00:00-5:00,26431.61914,27491.93945,26145.44922,27070.99219,27070.99219,104526.6328,,
2020-12-29 00:00:00-5:00,27069.30664,27400.04297,25869.28125,27375.29883,27375.29883,94267.41406,,
2020-12-30 00:00:00-5:00,27375.87891,28997.94727,27318.11914,28879.33008,28879.33008,126424.4531,,
2020-12-31 00:00:00-5:00,28881.01758,29302.57422,27850.69141,28975.35352,28975.35352,108475.2266,,
